race_date,race_num,pattern,honmei,niban,sanban,first,second,third,tan_hit,niren_hit,sanren_hit,sanrenpuku_hit,bet,return,profit,hits
20260510,4R,A,4,5,3,2,4,3,0,0,0,0,500,0,-500,0
20260502,6R,A,6,5,1,2,1,5,0,0,0,0,500,0,-500,0
20260502,7R,A,5,3,1,1,5,3,0,0,0,1,500,0,-500,0
20260502,8R,A,1,3,5,1,2,3,1,0,0,0,500,130,-370,1
20260502,9R,A,5,2,4,5,1,2,1,0,0,0,500,1420,920,1
20260502,10R,A,3,1,2,3,5,6,1,0,0,0,500,1030,530,1
20260502,11R,A,1,4,2,1,3,4,1,0,0,0,500,130,-370,1
20260502,12R,A,3,1,2,2,1,4,0,0,0,0,500,0,-500,0
20260501,1R,A,3,1,2,6,1,3,0,0,0,0,500,0,-500,0
20260501,2R,A,1,5,3,2,1,3,0,0,0,0,500,0,-500,0
20260501,3R,A,1,3,4,1,3,2,1,1,0,0,500,670,170,2
20260501,4R,A,4,1,2,4,2,5,1,0,0,0,500,1200,700,2
20260425,1R,A,4,1,2,1,4,3,0,0,0,0,500,0,-500,0
20260425,2R,A,6,1,2,1,3,5,0,0,0,0,500,180,-320,1
20260425,3R,A,2,1,3,3,2,1,0,0,0,1,500,0,-500,0
20260425,4R,A,3,2,1,2,1,4,0,0,0,0,500,0,-500,0
20260425,5R,A,2,4,1,1,3,6,0,0,0,0,500,0,-500,0
20260425,6R,A,4,3,2,1,4,2,0,0,0,0,500,0,-500,0
20260425,7R,A,1,2,6,1,3,4,1,0,0,0,500,100,-400,1
20260425,8R,A,2,3,1,1,6,4,0,0,0,0,500,0,-500,0
20260425,9R,A,1,2,3,1,5,4,1,0,0,0,500,130,-370,1
20260425,10R,A,3,2,5,1,2,3,0,0,0,0,500,0,-500,0
20260425,11R,A,4,5,1,1,5,2,0,0,0,0,500,0,-500,0
20260425,12R,A,1,5,3,1,2,3,1,0,0,0,500,100,-400,1
20260424,1R,A,2,3,1,1,3,5,0,0,0,0,500,0,-500,0
20260424,2R,A,1,2,5,4,1,2,0,0,0,0,500,0,-500,0
20260424,3R,A,3,4,1,3,1,4,1,0,0,1,500,380,-120,2
20260424,4R,A,3,4,1,2,4,5,0,0,0,0,500,0,-500,0
20260424,5R,A,1,3,6,1,4,3,1,0,0,0,500,260,-240,1
20260424,6R,A,1,4,3,1,4,3,1,1,1,1,500,1100,600,3
20260424,7R,A,2,4,1,1,2,3,0,0,0,0,500,0,-500,0
20260424,8R,A,1,2,3,2,1,6,0,0,0,0,500,0,-500,0
20260424,9R,A,3,1,4,1,3,4,0,0,0,1,500,0,-500,0
20260424,10R,A,1,4,2,1,2,5,1,0,0,0,500,310,-190,2
20260424,11R,A,1,4,2,1,2,3,1,0,0,0,500,320,-180,2
20260424,12R,A,1,2,5,1,2,3,1,1,0,0,500,280,-220,2
20260423,1R,A,1,2,6,1,2,4,1,1,0,0,500,260,-240,2
20260423,2R,A,1,2,5,1,6,4,1,0,0,0,500,140,-360,1
20260423,3R,A,1,2,5,1,2,5,1,1,1,1,500,43240,42740,3
20260423,4R,A,6,1,3,1,3,4,0,0,0,0,500,0,-500,0
20260423,5R,A,4,5,3,2,5,4,0,0,0,0,500,0,-500,0
20260423,6R,A,5,6,1,5,3,2,1,0,0,0,500,130,-370,1
20260423,7R,A,4,5,1,1,3,2,0,0,0,0,500,0,-500,0
20260423,8R,A,2,1,5,1,4,3,0,0,0,0,500,0,-500,0
20260423,9R,A,4,2,5,1,4,5,0,0,0,0,500,0,-500,0
20260423,10R,A,2,3,1,1,3,2,0,0,0,1,500,0,-500,0
20260423,11R,A,4,1,2,2,1,6,0,0,0,0,500,0,-500,0
20260423,12R,A,6,2,5,2,5,1,0,0,0,0,500,0,-500,0
20260422,1R,A,3,5,2,3,2,6,1,0,0,0,500,3560,3060,2
20260422,10R,A,3,4,2,3,1,4,1,0,0,0,500,400,-100,1
