race_date,race_num,pattern,honmei,niban,sanban,first,second,third,tan_hit,niren_hit,sanren_hit,sanrenpuku_hit,bet,return,profit,hits
20260430,1R,A,3,1,2,3,2,1,1,0,0,1,400,1430,1030,2
20260430,2R,C,1,2,5,2,1,5,0,0,0,1,200,1400,1200,1
20260430,3R,C,5,2,3,3,5,2,0,0,0,1,600,2100,1500,1
20260430,4R,C,3,2,1,1,2,6,0,0,0,0,200,0,-200,0
20260430,5R,B,4,2,1,4,1,2,1,0,0,1,700,260,-440,1
20260430,6R,B,3,1,2,6,3,2,0,0,0,0,800,0,-800,0
20260430,7R,A,3,1,2,1,3,2,0,0,0,1,800,1200,400,3
20260430,8R,A,1,3,2,1,2,3,1,0,0,1,400,830,430,3
20260430,9R,B,4,1,3,1,3,6,0,0,0,0,800,0,-800,0
20260430,10R,B,5,2,3,1,2,3,0,0,0,0,800,0,-800,0
20260430,11R,C,4,3,1,1,4,5,0,0,0,0,600,0,-600,0
20260430,12R,B,1,5,2,1,5,2,1,1,1,1,800,4265,3465,4
20260429,1R,A,1,4,5,4,1,3,0,0,0,0,400,0,-400,0
20260429,2R,A,4,3,1,1,3,5,0,0,0,0,500,0,-500,0
20260429,3R,A,3,1,5,3,4,5,1,0,0,0,700,100,-600,1
20260429,4R,C,2,3,5,3,2,5,0,0,0,1,600,0,-600,0
20260429,5R,C,1,2,4,1,4,6,1,0,0,0,200,0,-200,0
20260429,6R,B,3,2,1,1,2,3,0,0,0,1,700,420,-280,1
20260429,7R,C,1,4,2,1,5,6,1,0,0,0,600,0,-600,0
20260429,8R,B,1,3,5,1,2,6,1,0,0,0,800,100,-700,1
