race_date,race_num,pattern,honmei,niban,sanban,first,second,third,tan_hit,niren_hit,sanren_hit,sanrenpuku_hit,bet,return,profit,hits
20260430,1R,B,3,1,2,3,2,1,1,0,0,1,700,3300,2600,3
20260430,2R,C,2,1,5,2,1,5,1,1,1,1,200,1400,1200,1
20260430,3R,B,5,2,1,3,5,2,0,0,0,0,700,0,-700,0
20260430,4R,A,3,2,1,1,2,6,0,0,0,0,400,0,-400,0
20260430,5R,B,4,2,1,4,1,2,1,0,0,1,800,4000,3200,3
20260430,6R,B,3,2,1,6,3,2,0,0,0,0,700,0,-700,0
20260430,7R,A,3,1,2,1,3,2,0,0,0,1,900,1200,300,3
20260430,8R,B,3,1,2,1,2,3,0,0,0,1,700,280,-420,1
20260430,9R,B,4,1,3,1,3,6,0,0,0,0,700,0,-700,0
20260430,10R,B,5,2,3,1,2,3,0,0,0,0,700,0,-700,0
20260430,11R,B,4,3,1,1,4,5,0,0,0,0,800,0,-800,0
20260430,12R,B,1,5,2,1,5,2,1,1,1,1,700,3140,2440,4
20260429,1R,A,1,4,3,4,1,3,0,0,0,1,500,800,300,1
20260429,2R,A,4,3,2,1,3,5,0,0,0,0,400,0,-400,0
20260429,3R,A,3,1,5,3,4,5,1,0,0,0,800,100,-700,1
20260429,4R,B,2,3,5,3,2,5,0,0,0,1,800,1280,480,1
20260429,5R,C,2,1,4,1,4,6,0,0,0,0,200,0,-200,0
20260429,6R,B,3,2,1,1,2,3,0,0,0,1,700,420,-280,1
20260429,8R,A,1,3,5,1,2,6,1,0,0,0,800,100,-700,1
20260429,9R,B,4,1,3,1,3,4,0,0,0,1,700,0,-700,0
20260429,10R,A,1,5,3,1,5,2,1,1,0,0,400,1460,1060,2
20260429,11R,C,1,5,2,1,2,4,1,0,0,0,400,0,-400,0
20260429,12R,C,2,1,3,1,2,4,0,0,0,0,600,190,-410,1
20260425,1R,C,1,2,3,1,4,3,1,0,0,0,600,0,-600,0
20260425,2R,C,1,4,2,1,3,5,1,0,0,0,200,0,-200,0
20260425,3R,C,3,5,4,3,2,1,1,0,0,0,200,0,-200,0
20260425,4R,B,5,2,3,2,1,4,0,0,0,0,800,0,-800,0
20260425,5R,C,1,2,3,1,3,6,1,0,0,0,600,0,-600,0
20260425,6R,C,3,2,1,1,4,2,0,0,0,0,200,0,-200,0
20260425,7R,C,1,5,2,1,3,4,1,0,0,0,200,0,-200,0
20260425,8R,C,2,3,4,1,6,4,0,0,0,0,200,0,-200,0
20260425,9R,C,4,1,5,1,5,4,0,0,0,1,200,3020,2820,1
20260425,10R,B,2,1,5,1,2,3,0,0,0,0,800,0,-800,0
20260425,11R,C,2,1,3,1,5,2,0,0,0,0,600,0,-600,0
20260425,12R,A,1,2,3,1,2,3,1,1,1,1,600,920,320,4
20260424,1R,C,1,2,5,1,3,5,1,0,0,0,200,0,-200,0
20260424,2R,A,4,2,5,4,1,2,1,0,0,0,400,160,-240,1
20260424,3R,A,3,1,5,3,1,4,1,1,0,0,300,380,80,2
20260424,4R,C,2,5,4,2,4,5,1,0,0,1,200,11640,11440,1
20260424,5R,C,4,3,1,1,4,3,0,0,0,1,600,320,-280,1
20260424,6R,B,4,3,1,1,4,3,0,0,0,1,800,300,-500,1
20260424,7R,B,3,4,1,1,2,3,0,0,0,0,700,0,-700,0
20260424,8R,B,5,1,3,2,1,6,0,0,0,0,800,0,-800,0
20260424,9R,C,1,3,2,1,3,4,1,1,0,0,600,270,-330,1
20260424,10R,C,1,5,2,1,2,5,1,0,0,1,400,620,220,1
20260424,11R,A,1,3,2,1,2,3,1,0,0,1,400,490,90,3
20260424,12R,A,1,4,3,1,2,3,1,0,0,0,400,100,-300,1
20260423,1R,C,1,3,2,1,2,4,1,0,0,0,200,0,-200,0
20260423,2R,C,1,5,2,1,6,4,1,0,0,0,200,0,-200,0
20260423,3R,C,3,1,4,1,2,5,0,0,0,0,400,0,-400,0
